Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Macroalgae	Biota: Octocoral.Black	Biota: Seagrasses	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated	CampaignID
76	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
762	0	0	0	16	0	0	20	0	16	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
764	0	0	8	0	0	0	20	0	3	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
77	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
779	0	0	7	1	0	0	20	1	2	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
78	0	0	3	5	0	0	20	0	3	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
782	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
783	0	3	7	0	0	0	20	0	0	0	6	0	0	4	2014-12_Geographe.Bay_stereoBRUVs
784	0	0	9	0	0	0	20	0	0	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
79	0	8	2	0	0	0	20	0	0	0	2	0	0	8	2014-12_Geographe.Bay_stereoBRUVs
791	0	0	8	0	0	0	20	0	7	0	1	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
794	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
80	0	0	11	0	0	0	20	0	4	0	7	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
800	0	1	12	0	0	0	20	0	6	0	3	1	0	3	2014-12_Geographe.Bay_stereoBRUVs
807	0	0	9	0	0	0	20	0	1	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
81	0	6	4	0	0	0	20	0	0	0	4	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
810	0	0	5	0	0	0	20	0	0	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
816	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
82	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
823	0	0	5	0	0	0	20	0	0	0	5	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
826	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
828	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
83	0	0	10	0	0	0	20	0	1	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
832	0	5	8	0	0	0	20	0	0	0	8	0	0	5	2014-12_Geographe.Bay_stereoBRUVs
839	0	0	11	0	0	0	20	0	0	0	11	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
84	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
842	0	3	5	0	0	0	20	0	5	0	0	0	0	3	2014-12_Geographe.Bay_stereoBRUVs
843	0	0	9	0	0	0	20	0	0	0	9	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
848	0	0	11	0	0	0	20	0	5	0	6	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
855	0	0	9	0	0	0	20	0	5	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
858	8	4	0	0	0	0	20	0	0	0	0	0	0	12	2014-12_Geographe.Bay_stereoBRUVs
86	0	1	9	0	0	0	20	0	0	0	8	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
864	0	1	13	0	0	0	20	0	0	0	13	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
87	0	0	5	0	0	0	20	0	5	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
879	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
88	11	0	0	0	0	0	20	0	0	0	0	0	0	11	2014-12_Geographe.Bay_stereoBRUVs
880	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
89	10	0	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
9	6	3	1	0	0	0	20	0	0	0	0	1	0	9	2014-12_Geographe.Bay_stereoBRUVs
90	0	0	0	6	0	0	20	0	0	0	6	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
91	7	3	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
92	0	8	4	0	0	0	20	0	0	0	3	0	0	9	2014-12_Geographe.Bay_stereoBRUVs
93	0	10	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
95	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
96	0	1	12	0	0	1	19	0	6	0	5	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
97	0	5	5	0	0	0	20	0	0	0	2	1	0	7	2014-12_Geographe.Bay_stereoBRUVs
98	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
99	0	0	9	0	0	0	20	0	9	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR-BOB	0	0	8	0	0	0	20	0	0	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR1-1	0	0	8	0	0	0	20	0	0	0	8	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR1-2	0	0	1	14	0	0	20	0	15	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR1-3	0	0	11	0	0	0	20	0	0	0	11	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR1-4	0	1	3	11	0	0	20	2	10	0	2	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
GBR2-1	0	1	9	4	0	0	20	0	5	0	8	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
GBR2-2	0	0	11	1	0	0	20	0	2	0	8	2	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR2-3	0	0	10	0	0	1	19	0	7	0	3	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR2-4	0	0	10	0	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR3-1	0	1	7	0	0	0	20	0	1	0	5	0	0	2	2014-12_Geographe.Bay_stereoBRUVs
GBR3-2	0	0	4	0	0	0	20	0	4	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR3-3	0	0	12	0	0	0	20	1	7	0	4	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR4-1	0	0	4	8	0	0	20	0	12	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR4-2	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR5-1	0	0	8	2	0	0	20	0	10	0	0	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
GBR5-2	0	1	9	0	0	0	20	0	0	0	9	0	0	1	2014-12_Geographe.Bay_stereoBRUVs
GBR5-3	0	0	12	0	0	0	20	0	0	0	12	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
RB1	9	1	0	0	0	0	20	0	0	0	0	0	0	10	2014-12_Geographe.Bay_stereoBRUVs
RB2	0	0	10	0	0	0	20	0	0	0	10	0	0	0	2014-12_Geographe.Bay_stereoBRUVs
RC1	0	5	5	4	0	0	20	0	8	0	0	0	0	6	2014-12_Geographe.Bay_stereoBRUVs
RC2	0	0	9	7	0	0	20	0	5	0	7	2	1	1	2014-12_Geographe.Bay_stereoBRUVs
RC3	0	0	1	5	0	0	20	0	5	0	0	0	1	0	2014-12_Geographe.Bay_stereoBRUVs
