op_code,relief_1_some_relief_features_amongst_mostly_flat_substrate_sand_rubble_45_degree_substrate_slope,relief_2_mostly_relief_features_amongst_some_flat_substrate_or_rubble_45_substrate_slope,relief_3_good_relief_structure_with_some_overhangs_45_substrate_slope,relief_4_high_structural_complexity_fissures_and_caves_vertical_wall_90_substrate_slope,relief_unknown,field_of_view_facing_down,field_of_view_facing_up,field_of_view_limited,field_of_view_open,code,biota_consolidated_boulder_turf_mat,biota_consolidated_cobbles_turf_mat,biota_consolidated_cobbles_veneer,biota_consolidated_rock_turf_mat,biota_consolidated_rock_veneer,biota_invertebrate_complex_complex_1_na,biota_invertebrate_complex_complex_2_na,biota_invertebrate_complex_complex_3_na,biota_macroalgae_erect_course_branching_brown,biota_macroalgae_filamentous_and_filiform_na,biota_macroalgae_globose_saccate_na,biota_macroalgae_large_canopy_forming_brown,biota_macroalgae_sheet_like_membranous_na,biota_octocoral_black_branching_3d_na,biota_octocoral_black_fan_2d_na,biota_octocoral_black_massive_soft_corals_na,biota_octocoral_black_whip_na,biota_open_water_na_na,biota_seagrasses_elliptical_leaves_na,biota_sponges_crusts_encrusting,biota_sponges_erect_forms_branching,biota_sponges_erect_forms_lamiar,biota_sponges_hollow_forms_cups_and_alikes,biota_sponges_massive_forms_simple,biota_stony_corals_branching_bleached,biota_stony_corals_branching_live,biota_stony_corals_columnar_live,biota_stony_corals_digitate_bleached,biota_stony_corals_digitate_live,biota_stony_corals_encrusting_live,biota_stony_corals_foliose_plate_live,biota_stony_corals_massive_bleached,biota_stony_corals_massive_live,biota_stony_corals_small_mixed_live,biota_stony_corals_tabulate_live,biota_unconsolidated_pebble_gravel_biogenic_coral_rubble,biota_unconsolidated_pebble_gravel_biogenic_rhodolith,biota_unconsolidated_pebble_gravel_gravel_2_10mm_na,biota_unconsolidated_pebble_gravel_pebble_10_64mm_na,biota_unconsolidated_sand_mud_coarse_sand_na,biota_unconsolidated_sand_mud_fine_sand_na,biota_unknown_na_na
M228,0,0,0,0,0,0,0,3,17,875854765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M233,11,0,0,0,0,0,0,2,18,902011044,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M239,0,0,0,0,0,0,0,2,18,410005045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
M24,9,0,0,0,0,0,0,2,18,593624298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
M240,6,0,0,0,0,0,0,7,13,1052412495,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
M241,0,4,0,0,0,0,0,16,4,45163648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M245,1,0,0,0,0,0,0,8,12,984012048,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M25,0,0,0,0,0,0,0,2,18,738009081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
M250,0,0,0,0,0,0,0,0,20,820010140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
M255,8,0,0,0,0,0,0,2,18,664334394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
M263,0,0,0,0,0,0,0,0,20,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M268,10,0,0,0,0,0,0,0,20,595613270,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M269,0,0,0,0,0,0,0,3,17,401504570,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M27,3,0,0,0,0,0,0,11,9,656008084,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
M273,0,0,0,0,0,0,0,3,17,820010040,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M274,16,0,0,0,0,0,0,1,19,887023560,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M283,0,0,0,0,0,0,0,3,17,820010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
M284,0,0,0,0,0,0,0,3,17,547850693,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
M286,0,0,0,0,0,0,0,2,18,1230015060,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M29,0,8,0,10,0,0,0,2,18,909361316,0,0,0,10,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M291,0,0,0,0,0,0,0,3,17,803009140,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M292,0,0,0,0,0,0,0,3,17,820010140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
M293,6,0,0,0,0,0,0,0,20,61173467,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M296,2,0,0,0,0,0,0,2,18,678589890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0
M298,10,0,0,0,0,0,0,3,17,820010040,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M30,0,0,0,0,0,0,0,1,19,630461608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,7,0,0,0,0,0,0
M34,0,0,0,0,0,0,0,3,17,820010150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
M35,0,0,0,0,0,0,0,2,18,1085194849,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
M36,0,0,0,0,0,0,0,2,18,947174774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0
M40,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M43,0,0,0,0,0,0,0,2,18,967011169,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
M44,4,0,0,0,0,0,0,2,18,537169678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0
M45,0,0,0,0,0,0,0,3,17,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
M50,0,0,0,0,0,0,0,3,17,180551233,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
M53,0,0,0,0,0,0,0,3,17,820010040,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M57,0,0,0,0,0,0,0,3,17,1357179804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0
M58,10,10,0,0,0,0,0,3,17,1215027565,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M59,0,0,0,0,0,0,0,2,18,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M61,0,0,0,0,0,0,0,3,17,373849095,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M65,0,0,0,0,0,0,0,3,17,913302029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
M66,0,0,0,0,0,0,0,6,14,820010090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
M67,1,0,0,0,0,0,0,3,17,167533758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M68,0,0,0,0,0,0,0,2,18,803009140,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M69,12,0,0,0,0,0,0,3,17,488187404,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
M70,0,0,0,0,0,0,0,3,17,720589754,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M71,0,0,0,0,0,0,0,2,18,1066013066,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
M72,1,0,0,0,0,0,0,2,18,1040466687,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0
M77,0,0,0,0,0,0,0,3,17,820010110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
M78,0,0,0,0,0,0,0,3,17,853516800,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M79,0,0,0,0,0,0,0,3,17,44675668,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M81,0,6,0,0,0,0,0,0,20,1476018116,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
M83,0,0,0,0,0,0,0,3,17,820010160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
M84,0,3,0,0,0,0,0,2,18,1017884766,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
M85,5,0,0,0,0,0,0,2,18,749299970,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
M87,0,0,0,0,0,0,0,2,18,55844585,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M92,0,0,0,0,0,0,0,3,17,820010096,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
M95,0,0,0,0,0,0,0,2,18,820010090,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0
M98,2,5,0,0,0,0,0,0,20,1073903838,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
N1,0,0,10,0,0,0,0,2,18,1230015090,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
N2,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3,0,0,0,0,0,0,0,3,17,902011198,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
N4,0,5,0,0,0,0,0,3,17,1230015270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
N5,0,0,0,0,0,0,0,3,17,820010180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
