campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count,caab_code
2022-11_Investigator_stereo-BRUVs,INV-BV-60,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,7,82001015
2022-11_Investigator_stereo-BRUVs,INV-BV-62,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,34,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-66,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,6,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-66,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,7,82001011
2022-11_Investigator_stereo-BRUVs,INV-BV-66,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,5,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Bryozoa,Hard,Fenestrate,NA,NA,NA,NA,NA,NA,NA,1,20000903
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Bryozoa,Soft,Dendroid,NA,NA,NA,NA,NA,NA,NA,1,20000906
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,3,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,1,11168902
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Macroalgae,Articulated calcareous,Red,NA,NA,NA,NA,NA,NA,NA,1,80300913
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Macroalgae,Encrusting,Red,Calcareous,NA,NA,NA,NA,NA,NA,1,80300934
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Sponges,Cup-likes,Barrels,NA,NA,NA,NA,NA,NA,NA,1,10000907
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Sponges,Cup-likes,Cups,Tables / discs,NA,NA,NA,NA,NA,NA,1,10000920
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA,2,10000915
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA,1,10000913
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,1,10000904
2022-11_Investigator_stereo-BRUVs,INV-BV-69,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,12,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Bryozoa,Hard,Fenestrate,NA,NA,NA,NA,NA,NA,NA,1,20000903
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,8,11168912
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,2,11001000
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Seirococcaceae,Scytothalia,dorycarpa,4,54102005
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA,2,10000915
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA,1,10000913
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Biota,Sponges,Erect forms,Simple,NA,NA,NA,NA,NA,NA,NA,2,10000916
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,1,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-70,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,2,82001015
